Open,High,Low,Adj Close
1780.37,1873.93,1755.35,1848.57
1756.52,1788.44,1719.1,1787.13
1723.89,1833.49,1716.3,1755.36
1596.92,1723.35,1596.92,1723.35
1579.47,1596.72,1559.76,1596.71
1556.81,1578.8,1542.5,1578.8
1540.87,1618.03,1530.31,1555.45
1490.72,1608.91,1490.72,1537.67
1453.78,1492.77,1447.49,1490.09
1421.03,1473.9,1415.69,1452.82
1348.3,1434.32,1348.3,1421.6
1321.87,1347.91,1314.92,1347.89
1317.84,1327.2,1315.21,1321.79
1317.74,1331.28,1292.37,1316.48
1281.88,1319.7,1281.3,1317.73
1265.99,1294.83,1265.93,1281.08
1250.45,1267.58,1249.97,1265.49
1209.63,1250.94,1209.63,1250.15
1231.92,1232.2,1203.94,1207.21
1222.71,1235.56,1208.47,1231.71
1229.42,1235.94,1215.56,1222.05
1211.08,1240.79,1208.41,1229.08
1212.13,1215.51,1205.08,1210.29
1193.77,1217.57,1193.77,1211.67
1183.25,1194.9,1172.65,1193.91
1172.61,1187.22,1172.61,1182.94
1167.3,1188,1164.96,1172.52
1170.33,1190.8,1159.79,1167.54
1201.02,1205.89,1156.44,1169.28
1204.81,1207.14,1196.76,1200.37
1187.46,1208.07,1187.46,1205.01
1187.3,1190.34,1179.04,1187.13
1176.57,1197.21,1171.86,1187.87
1172.65,1184.98,1162.58,1175.95
1178.94,1186.58,1163.39,1176.9
1125.81,1188.37,1125.81,1182.68
1134.14,1135.09,1113.63,1124.78
1145.52,1156.44,1120.52,1133.25
1102.95,1151.74,1102.95,1143.81
1080.61,1107.59,1075.45,1102.17
1071.71,1091.72,1061.09,1080.5
1026.64,1074.92,1026.64,1071.79
1042.21,1049.29,1020.04,1026.43
1046.08,1055.13,1015.88,1039.97
1044.58,1064.65,1027.73,1047.15
972.06,1046.4,971.98,1045.77
974.02,1007.96,954.19,966.73
936.54,975.76,903.71,972.78
1038.45,1040.47,934.36,937.52
1050.05,1058.01,1028.93,1038.59
1120.65,1120.65,1014.21,1049.14
1055.36,1122.43,1055.36,1120.54
1037.24,1063.03,1036.68,1054.23
976.73,1069.91,976.73,1036.74
1099.69,1114.07,957.66,973.82
1180.16,1180.16,1099.57,1100.23
1251.33,1257.98,1152.44,1187.81
1240.16,1251.61,1239.75,1249.61
1232.16,1244.81,1220.72,1240
1221.78,1237.37,1217.03,1231.92
1176.62,1226.98,1175.36,1221.38
1116.32,1193.83,1116.32,1175.83
1189.36,1270.47,1077.25,1116.72
1150.35,1197.46,1141.23,1188.49
1223.23,1232.16,1148.08,1150
1273.21,1275.55,1204.8,1223.54
1267.47,1276,1264.6,1272.83
1254.29,1267.29,1238.06,1267.12
1277.43,1279.4,1230.51,1255.15
1250.71,1280.31,1250.71,1274.99
1224.68,1262.13,1215.62,1251.01
1180.04,1222.5,1179.69,1222.5
1180.72,1193.25,1171.82,1179.97
1163.78,1181.98,1163.38,1179.97
1144.27,1167.47,1130.2,1165.2
1170.41,1174.85,1124.59,1143.84
1172.71,1200.39,1131.96,1173.68
1117.27,1176.62,1116.96,1166.72
1114.8,1125.39,1100.55,1117.44
1079.28,1117.25,1076.93,1115.3
1048.69,1080.49,1041.69,1079.98
1054.76,1056.81,1043.46,1047.87
1049.21,1061.1,1046.96,1054.42
1026.12,1053.17,1025.64,1046.21
1007.65,1033.37,1007.65,1027.44
1006.21,1008.84,1001.58,1007.48
991.74,1011.51,986.47,1004.55
998.89,1002.1,976,990.64
1003.52,1004.76,996.92,999.18
988.9,1009.29,982.83,1004.45
995.63,998.91,946.69,988.67
1064.7,1088.99,953.34,994.38
1062.32,1078.97,1037.49,1063.07
1040.14,1061.93,1040.14,1061.35
1028.4,1044.64,1028.16,1038.15
1043.52,1043.63,1022.37,1027.34
1031.33,1045.9,1015.16,1042.9
1011.46,1033.87,1008.79,1029.91
990,1013.52,983.22,1011.8
970.94,989.11,970.74,989.02
920.96,972.02,920.96,970.4
920.15,923.05,919.47,920.38
922.07,923.42,919.15,919.5
919.81,923.91,919.81,921.59
918.36,923.22,915.85,919.75
902.4,919.33,902.22,917.59
891.92,903.25,891.69,901.54
910.68,924.15,892.29,892.69
925.5,928.27,916.74,921.01
922.21,937.53,897.56,924.67
