Open,High,Low,Adj Close,Date
352.75,382.73,347.69,365.03,10/9/2014
336.12,354.36,327.19,352.94,10/8/2014
330.58,339.25,320.48,336.19,10/7/2014
320.39,345.13,302.56,330.08,10/6/2014
328.92,341.8,289.3,320.51,10/5/2014
359.89,364.49,325.89,328.87,10/4/2014
375.18,377.7,357.86,359.51,10/3/2014
383.99,385.5,372.95,375.07,10/2/2014
387.43,391.38,380.78,383.62,10/1/2014
376.09,390.98,373.44,386.94,9/30/2014
376.93,385.21,372.24,375.47,9/29/2014
399.47,401.02,374.33,377.18,9/28/2014
403.56,406.62,397.37,399.52,9/27/2014
411.43,414.94,400.01,404.43,9/26/2014
423.16,423.52,409.47,411.57,9/25/2014
435.75,436.11,421.13,423.21,9/24/2014
402.09,441.56,396.2,435.79,9/23/2014
399.1,406.92,397.13,402.15,9/22/2014
408.09,412.43,393.18,398.82,9/21/2014
394.67,423.3,389.88,408.9,9/20/2014
424.1,427.84,384.53,394.8,9/19/2014
456.86,456.86,413.1,424.44,9/18/2014
465.86,468.17,452.42,457.33,9/17/2014
474.86,475.64,465.13,466.06,9/16/2014
477.77,478.62,474.02,475.37,9/15/2014
479.12,479.85,476.12,477.89,9/14/2014
477.79,482.12,475.1,479,9/13/2014
479.58,479.63,473.01,477.75,9/12/2014
479.62,482.35,474.61,479.75,9/11/2014
475.48,487.47,475.15,479.36,9/10/2014
474.88,477.38,467.78,475.26,9/9/2014
481.81,489.83,468.79,474.6,9/8/2014
485.13,488.07,482.28,482.28,9/7/2014
483.34,488.6,483,484.83,9/6/2014
489.67,490.64,481.61,483.34,9/5/2014
477.68,493.93,477.09,489.66,9/4/2014
476.87,481.71,476.21,477.59,9/3/2014
474.48,482.99,472.32,477.43,9/2/2014
477.79,485.31,471.91,474.88,9/1/2014
502.91,504.88,474.81,477.76,8/31/2014
508.59,509.31,501.64,504.25,8/30/2014
508.43,511.7,503.82,508.52,8/29/2014
510.88,516.16,506.88,507.82,8/28/2014
512.19,520.71,510.92,511.15,8/27/2014
502.54,512.69,502.54,511.57,8/26/2014
508.22,508.22,499.23,502.5,8/25/2014
498.29,512.89,497.35,508.29,8/24/2014
513.39,514.3,492.11,498.08,8/23/2014
517.58,521.48,501.28,514.04,8/22/2014
510.45,531.9,510.45,517.24,8/21/2014
485.07,518.29,467.51,511.98,8/20/2014
461.48,485.71,455.54,485.25,8/19/2014
491.51,499.37,443.85,461.46,8/18/2014
519.14,520.19,483.63,491.8,8/17/2014
497.83,521.48,487.74,519.71,8/16/2014
511.14,518.18,487.93,497.01,8/15/2014
546.18,546.24,498.73,505.97,8/14/2014
570.38,573.03,532.67,546.66,8/13/2014
576.51,576.95,566.6,569.64,8/12/2014
591.28,591.51,574.05,576.37,8/11/2014
589.17,594.46,587.94,591.06,8/10/2014
592.47,592.47,587.63,589.37,8/9/2014
588.88,598.12,588.79,592.58,8/8/2014
584.65,591.1,584.05,588.87,8/7/2014
585.95,587.49,583.1,584.65,8/6/2014
589.01,589.87,584.1,585.44,8/5/2014
586.23,591.95,583.74,588.78,8/4/2014
588.89,589.15,581.65,586.67,8/3/2014
594.9,594.91,586.16,589.33,8/2/2014
586.2,597.92,583.63,594.92,8/1/2014
567.37,586.24,564.51,586.24,7/31/2014
584.74,585.12,564.9,567.29,7/30/2014
585.55,588.39,581.7,584.73,7/29/2014
594.14,594.57,575.19,585.69,7/28/2014
595.67,598.94,593.43,593.85,7/27/2014
601.54,602.09,593.96,595.81,7/26/2014
601.51,607.07,597.23,601.09,7/25/2014
619.5,620.43,595.57,601.73,7/24/2014
621.12,624.43,618.29,619.42,7/23/2014
622.27,624.3,620.96,621.55,7/22/2014
623.95,624.09,619.11,622.21,7/21/2014
628.56,628.56,622.78,623.9,7/20/2014
629.17,629.17,624.6,628.52,7/19/2014
622.37,629.21,620.47,628.78,7/18/2014
616.54,626.29,608.4,623.09,7/17/2014
622.01,623.09,615.33,616.8,7/16/2014
620,625.14,619.64,621.59,7/15/2014
626.56,627.34,617.32,619.32,7/14/2014
634.22,634.73,624.91,626.5,7/13/2014
631.88,636.66,626.98,633.71,7/12/2014
616.66,632.09,615.77,632,7/11/2014
624.83,626.12,612.35,616.76,7/10/2014
625.22,627,622.6,624.51,7/9/2014
622.57,626.7,620.91,624.82,7/8/2014
635.46,637.16,617.01,624.09,7/7/2014
631.77,638.65,631.16,635.81,7/6/2014
629.95,633.22,628,631.46,7/5/2014
644.65,648.43,629.4,630.69,7/4/2014
650.77,650.77,641.3,645.16,7/3/2014
641.04,656.68,638.34,650.88,7/2/2014
641.39,657.86,640.11,640.81,7/1/2014
602.62,645.16,599.88,639.8,6/30/2014
